ID,Name,Development,BT,BP,BM,Trade good,Trade node,Modifiers,Type,Continent,Superregion,Region,Area
1,Stockholm,13,5,5,3,,Baltic Sea,Entrepot,Land,Europe,Western Europe,Scandinavia,Östra Svealand
2,Östergötland,6,2,2,2,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Östra Götaland
3,Kalmar,5,2,2,1,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Östra Götaland
4,Bergslagen,7,2,3,2,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Östra Svealand
5,Värmland,3,1,1,1,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Västra Svealand
6,Lund,20,7,7,6,,Lübeck,Skåne Market,Land,Europe,Western Europe,Scandinavia,Skåneland
7,Skaraborg,6,2,2,2,,Lübeck,,Land,Europe,Western Europe,Scandinavia,Västra Götaland
8,Dalaskogen,5,1,2,2,,Baltic Sea,Stora Kopparberget,Land,Europe,Western Europe,Scandinavia,Västra Svealand
9,Hälsingland,5,2,2,1,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Norrland
10,Jämtland,3,1,1,1,,North Sea,,Land,Europe,Western Europe,Scandinavia,Trøndelag
11,Västerbotten,3,1,1,1,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Norrland
12,Sjælland,20,8,8,4,,Lübeck,Sound Toll,Land,Europe,Western Europe,Scandinavia,Denmark
13,Slesvig,11,4,4,3,,Lübeck,,Land,Europe,Western Europe,North Germany,Schleswig-Holstein
14,Fyn,14,5,5,4,,Lübeck,,Land,Europe,Western Europe,Scandinavia,Denmark
15,Vestjylland,5,2,2,1,,Lübeck,,Land,Europe,Western Europe,Scandinavia,North Jutland
16,Bohuslän,6,2,2,2,,Lübeck,,Land,Europe,Western Europe,Scandinavia,Västra Götaland
17,Akershus,8,3,3,2,,Lübeck,Natural Harbor,Land,Europe,Western Europe,Scandinavia,Østlandet
18,Lappland,3,1,1,1,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Norrland
19,Österbotten,3,1,1,1,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Ostrobothnia
20,Trøndelag,8,3,3,2,,North Sea,Natural Harbor,Land,Europe,Western Europe,Scandinavia,Trøndelag
21,Hålogaland,5,2,2,1,,North Sea,,Land,Europe,Western Europe,Scandinavia,Trøndelag
22,Opplanda,3,1,1,1,,Lübeck,,Land,Europe,Western Europe,Scandinavia,Østlandet
23,Bergenhus,7,3,3,1,,North Sea,Entrepot,Land,Europe,Western Europe,Scandinavia,Vestlandet
24,Stavanger,6,3,2,1,,North Sea,,Land,Europe,Western Europe,Scandinavia,Vestlandet
25,Gotland,10,4,4,2,,Baltic Sea,Natural Harbor,Land,Europe,Western Europe,Scandinavia,Östra Götaland
26,Halland,8,3,3,2,,Lübeck,,Land,Europe,Western Europe,Scandinavia,Skåneland
27,Åbo,8,3,3,2,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Finland
28,Nyland,6,2,2,2,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Finland
29,Tavastland,3,1,1,1,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Finland
30,Viborg,6,2,2,2,,Novgorod,,Land,Europe,Eastern Europe,Russia,South Karelia
31,Savolax,3,1,1,1,,Baltic Sea,,Land,Europe,Western Europe,Scandinavia,Finland
32,Kexholm,5,2,2,1,,Novgorod,,Land,Europe,Eastern Europe,Russia,North Karelia
33,Neva,7,3,3,1,,Novgorod,"Natural Harbor
Neva Estuary",Land,Europe,Eastern Europe,Russia,South Karelia
34,Ingermanland,7,3,3,1,,Novgorod,,Land,Europe,Eastern Europe,Russia,South Karelia
35,Ösel,3,1,1,1,,Baltic Sea,,Land,Europe,Eastern Europe,Baltic,Curonia
36,Reval,10,4,4,2,,Baltic Sea,,Land,Europe,Eastern Europe,Baltic,Estonia
37,Livland,8,3,3,2,,Baltic Sea,,Land,Europe,Eastern Europe,Baltic,Livonia
38,Riga,11,5,5,1,,Baltic Sea,"Natural Harbor
Daugava Estuary",Land,Europe,Eastern Europe,Baltic,Livonia
39,Goldingen,7,3,3,1,,Baltic Sea,,Land,Europe,Eastern Europe,Baltic,Curonia
40,Memel,9,3,3,3,,Baltic Sea,Neman Estuary,Land,Europe,Eastern Europe,Baltic,East Prussia
41,Königsberg,13,5,5,3,,Baltic Sea,Natural Harbor,Land,Europe,Eastern Europe,Baltic,East Prussia
42,Warmia,8,3,3,2,,Baltic Sea,,Land,Europe,Eastern Europe,Baltic,East Prussia
43,Danzig,16,7,7,2,,Baltic Sea,"Entrepot
Vistula Estuary",Land,Europe,Eastern Europe,Baltic,West Prussia
44,Hamburg,19,7,7,5,,Lübeck,"Entrepot
Elbe Estuary",Land,Europe,Western Europe,North Germany,Lower Saxony
45,Lübeck,17,7,7,3,,Lübeck,Entrepot,Land,Europe,Western Europe,North Germany,Mecklenburg
46,Rostock,10,4,4,2,,Lübeck,,Land,Europe,Western Europe,North Germany,Mecklenburg
47,Stralsund,6,2,2,2,,Lübeck,Natural Harbor,Land,Europe,Western Europe,North Germany,Vorpommern
48,Kolberg,6,2,2,2,,Lübeck,,Land,Europe,Western Europe,North Germany,Hinterpommern
49,Neumark,6,2,2,2,,Saxony,,Land,Europe,Western Europe,North Germany,Neumark
50,Berlin,12,4,4,4,,Saxony,Emporium,Land,Europe,Western Europe,North Germany,Mittelmark
51,Ruppin,5,2,2,1,,Saxony,,Land,Europe,Western Europe,North Germany,Mittelmark
52,Magdeburg,10,4,4,2,,Saxony,Market Town,Land,Europe,Western Europe,North Germany,Saxony-Anhalt
53,Lüneburg,8,3,3,2,,Lübeck,,Land,Europe,Western Europe,North Germany,Lower Saxony
54,Stade,6,2,2,2,,Lübeck,,Land,Europe,Western Europe,North Germany,Weser
55,Oldenburg,7,3,2,2,,Lübeck,,Land,Europe,Western Europe,North Germany,Weser
56,Osnabrück,9,3,4,2,,Rheinland,,Land,Europe,Western Europe,North Germany,North Westphalia
57,Brunswick,9,3,3,3,,Saxony,,Land,Europe,Western Europe,North Germany,Braunschweig
58,Anhalt,6,2,2,2,,Saxony,,Land,Europe,Western Europe,North Germany,Saxony-Anhalt
59,Wittenberg,10,4,4,2,,Saxony,,Land,Europe,Western Europe,North Germany,Saxony
60,Bautzen,5,2,2,1,,Saxony,,Land,Europe,Western Europe,North Germany,Lusatia
61,Dresden,14,6,6,2,,Saxony,Emporium,Land,Europe,Western Europe,North Germany,Saxony
62,Leipzig,10,4,4,2,,Saxony,,Land,Europe,Western Europe,North Germany,Saxony
